a212,  William J. Clinton,1999,,,,,,
a213,  William J. Clinton,2000,,,,,,
a214,  George W. Bush,2001,,,,,,
a215,  George W. Bush,2001,,,,,,
a216,  George W. Bush,2002,,,,,,
a217,  George W. Bush,2003,,,,,,
a218,  George W. Bush,2004,,,,,,
a219,  George W. Bush,2005,,,,,,
a220,  George W. Bush,2006,,,,,,
a221,  George W. Bush,2007,,,,,,
a222,  George W. Bush,2008,,,,,,
a223,  Barack Obama,2009,,,,,,
a224,  Barack Obama,2010,,,,,,
a225,  Barack Obama,2011,,,,,,
a226,  Barack Obama,2012,,,,,,
a227,  Barack Obama,2013,,,,,,
a228,  Barack Obama,2014,,,,,,
